"ANO","PERIODO","CODIGO_COMPONENTE","CODIGO_TURMA","TOTAL","APROVADO","REPROVADO","DISPENSADO","TRANCADO","DESISTENCIA"
2021,2,"04341",HT1,54,42,5,0,4,3
2021,2,"04341",LB3,48,35,2,0,2,9
2021,2,"04341",LE1,43,36,2,0,0,5
2021,2,"04341",TU1,43,24,5,0,4,10
2021,2,"04341",TU2,44,36,4,0,0,4
2021,2,"04341",TU3,47,25,11,0,2,9
2021,2,"04341",TU4,41,21,11,0,2,7
2021,2,"04343",LT1,25,21,4,0,0,0
2021,2,"04344",LT1,27,22,3,0,2,0
2021,2,"04348",LT1,26,18,7,0,0,1
2021,2,"04349",LT1,38,35,1,0,1,1
2021,2,"04350",LT1,28,26,1,0,0,1
2021,2,"04354",LT1,36,36,0,0,0,0
2021,2,"04360","02",14,10,4,0,0,0
2021,2,"04404",SR3,14,7,3,0,2,2
2021,2,"04414",SR3,38,30,4,0,2,2
2021,2,"04420",SR3,37,25,5,0,1,6
2021,2,"04422",SR1,42,28,5,0,6,3
2021,2,"04427",SR1,34,22,6,0,6,0
2021,2,"04430",SR3,23,16,4,0,1,2
2021,2,"04438",GS1,11,6,5,0,0,0
2021,2,"04440",AD3,52,34,5,0,3,10
2021,2,"04450",AD1,50,30,13,0,4,3
2021,2,"04450",CE1,46,27,17,0,0,2
2021,2,"04450",SB1,23,17,2,0,1,3
2021,2,"04450",SR1,46,24,21,0,0,1
2021,2,"04460",LE1,38,25,10,0,1,2
2021,2,"04461",SF3,36,20,14,0,0,2
2021,2,"04461",SP1,28,18,5,0,2,3
2021,2,"04465",LE1,43,20,17,0,2,4
2021,2,"04467",SR1,18,9,2,0,5,2
2021,2,"04468",SR1,13,9,2,0,0,2
2021,2,"04468",SV1,18,15,2,0,0,1
2021,2,"04468",SV3,10,9,1,0,0,0
2021,2,"04470",SA1,28,22,2,0,1,3
2021,2,"04470",SA3,29,23,5,0,0,1
2021,2,"04473",SZ1,38,31,4,0,1,2
2021,2,"04475",SR3,7,2,2,0,1,2
2021,2,"04478",SR1,11,6,2,0,2,1
2021,2,"04507",HT1,66,56,6,0,0,4
2021,2,"04508",AD3,33,30,1,0,0,2
2021,2,"04509",CE1,52,27,22,0,1,2
2021,2,"04521",HT1,38,33,3,0,2,0
2021,2,"04521",LT1,12,5,3,0,2,2
2021,2,"04521",SB1,34,27,7,0,0,0
2021,2,"04521",SR3,40,27,9,0,2,2
2021,2,"04526",GS1,11,8,3,0,0,0
2021,2,"04560",SV1,32,28,4,0,0,0
2021,2,"04560",SV3,34,23,3,0,1,7
2021,2,"04565",HT1,43,29,14,0,0,0
2021,2,"04566",HT1,43,32,11,0,0,0
2021,2,"04590",AD3,8,6,2,0,0,0
2021,2,"04592",HT1,30,22,7,0,1,0
2021,2,"04593",HT1,33,31,2,0,0,0
2021,2,"04595",HT1,50,35,10,0,1,4
2021,2,"04627",HT1,38,33,3,0,2,0
2021,2,"04642",HT1,52,41,7,0,2,2
2021,2,"04643",HT1,10,5,2,0,1,2
2021,2,"04645",HT1,3,1,0,0,2,0
2021,2,"04694",CE1,4,1,2,0,0,1
2021,2,"04704",AD1,39,35,2,0,0,2
2021,2,"04704",CE1,38,32,4,0,1,1
2021,2,"04705",SA1,21,20,0,0,0,1
2021,2,"04705",SA3,14,10,0,0,0,4
2021,2,"04707",AD3,9,5,3,0,0,1
2021,2,"04713",SR1,52,25,26,0,1,0
2021,2,"04730",SR1,29,17,8,0,2,2
2021,2,"04731",SR3,36,26,7,0,2,1
2021,2,"04732",SR1,28,17,4,0,4,3
2021,2,"04742",EA1,27,12,4,0,2,9
2021,2,"04743",SR1,45,24,21,0,0,0
2021,2,"04744",SR1,47,23,24,0,0,0
2021,2,"04746",SR3,7,1,2,0,1,3
2021,2,"04747",SR1,36,23,6,0,3,4
2021,2,"04748",SR3,16,13,3,0,0,0
2021,2,"04749",SR3,13,11,1,0,0,1
2021,2,"04750",SR3,25,19,2,0,1,3
2021,2,"04751",SR1,8,6,2,0,0,0
2021,2,"04752",SR1,17,8,6,0,0,3
2021,2,"04753",SR1,13,10,1,0,1,1
2021,2,"04754",SR1,13,12,1,0,0,0
2021,2,"04755",SR3,18,15,1,0,1,1
2021,2,"04756",SR3,13,10,0,0,1,2
2021,2,"04759",SR3,12,10,0,0,0,2
2021,2,"04760","02",20,14,5,0,1,0
2021,2,"04761","02",13,9,2,0,0,2
2021,2,"04768",SR3,17,11,4,0,0,2
2021,2,"04777",SR3,13,9,1,0,1,2
2021,2,"04782",SZ1,38,32,3,0,1,2
2021,2,"04785",HT1,35,24,10,0,1,0
2021,2,"04786",HT1,30,19,8,0,1,2
2021,2,"04787",HT1,15,12,1,0,1,1
2021,2,"04788",GS3,35,18,15,0,1,1
2021,2,"04793",HT1,45,34,11,0,0,0
2021,2,"04797",HT1,17,17,0,0,0,0
2021,2,"04798",HT1,34,29,4,0,1,0
2021,2,"04799",HT1,29,18,7,0,1,3
2021,2,"04800",HT1,52,44,5,0,0,3
2021,2,"04801",HT1,46,40,5,0,0,1
2021,2,"04802","02",26,21,5,0,0,0
2021,2,"04803","02",27,12,14,0,1,0
2021,2,"04806",HT1,9,5,3,0,0,1
2021,2,"04808",HT1,18,10,4,0,2,2
2021,2,"04820",HT1,9,3,5,0,1,0
2021,2,"04831",HT1,14,4,5,0,2,3
2021,2,"04836",HT1,50,42,8,0,0,0
2021,2,"04837",HT1,25,23,0,0,0,2
2021,2,"04838",HT1,6,4,2,0,0,0
2021,2,"04842",HT1,14,3,5,0,1,5
2021,2,"04864",LT1,25,16,6,0,0,3
2021,2,"04865",AM1,26,21,0,0,2,3
2021,2,"04871",LT1,49,31,14,0,2,2
2021,2,"04872",LT1,52,36,15,0,1,0
2021,2,"04873",LT1,48,33,13,0,1,1
2021,2,"04874",LT1,45,30,12,0,1,2
2021,2,"04875",LT1,41,33,5,0,1,2
2021,2,"04876",LT1,42,36,4,0,1,1
2021,2,"04877","01",41,34,6,0,1,0
2021,2,"04878",LT1,45,37,5,0,2,1
2021,2,"04879",LT1,36,29,6,0,1,0
2021,2,"04880",LT1,26,21,4,0,0,1
2021,2,"04881",LT1,25,23,0,0,1,1
2021,2,"04882",LT1,31,30,0,0,0,1
2021,2,"04883",LT1,26,24,1,0,1,0
2021,2,"04884",LT1,22,20,0,0,1,1
2021,2,"04885",LT1,31,25,3,0,2,1
2021,2,"04886",LT1,21,16,1,0,2,2
2021,2,"04887",LT1,25,23,1,0,1,0
2021,2,"04888",LT1,25,23,0,0,2,0
2021,2,"04889",LT1,25,23,0,0,2,0
2021,2,"04890",LT1,30,27,0,0,3,0
2021,2,"04891",LT1,20,20,0,0,0,0
2021,2,"04892",LT1,22,18,2,0,2,0
2021,2,"04894",LT1,24,22,1,0,1,0
2021,2,"04896",LT1,15,14,0,0,1,0
2021,2,"04900",CC3,32,26,5,0,0,1
2021,2,"04904",LT1,14,8,5,0,0,1
2021,2,"04912",LT1,15,9,4,0,1,1
2021,2,"04918",LT1,13,4,6,0,0,3
2021,2,"04937",LT1,1,1,0,0,0,0
2021,2,"04948",LT1,3,3,0,0,0,0
2021,2,"05124",LE1,37,20,14,0,2,1
2021,2,"05125",LB1,36,22,5,0,2,7
2021,2,"05125",LP3,32,23,3,0,1,5
2021,2,"05126",LE1,32,22,6,0,3,1
2021,2,"05127",LE1,39,18,18,0,2,1
2021,2,"05137",LB1,34,29,4,0,0,1
2021,2,"05137",LB3,39,26,10,0,1,2
2021,2,"05137",LT1,45,29,15,0,0,1
2021,2,"05139",LC1,41,19,18,0,2,2
2021,2,"05139",LE1,36,25,9,0,0,2
2021,2,"05139",LF2,38,24,14,0,0,0
2021,2,"05139",LM1,42,24,14,0,1,3
2021,2,"05139",LM3,36,23,9,0,1,3
2021,2,"05140",LE1,40,22,9,0,2,7
2021,2,"05140",LF2,23,15,3,0,3,2
2021,2,"05140",LM1,18,9,5,0,3,1
2021,2,"05140",LM2,28,17,4,0,2,5
2021,2,"05145",HT1,50,40,5,0,0,5
2021,2,"05145",LC1,29,22,2,0,3,2
2021,2,"05145",LE1,45,15,8,0,6,16
2021,2,"05145",LF2,20,16,3,0,1,0
